standard_span,dialect_span,category,n_occurrences,delta_nll_swap_mean,delta_nll_swap_std,delta_nll_swap_median,dialects,tasks
nó vào,hấn vô,Predicate vocabulary,1,0.2942657470703125,,0.2942657470703125,PNT2,SENT
mẹ bảo,má biểu,Kinship/Honorific terms,1,0.2934722900390625,,0.2934722900390625,PNN,MCQA
không thấy cái đầu,nỏ chộ kì trốc,Negation/Function words,1,0.2933599948883056,,0.2933599948883056,PNT3,MCQA
mồm,miệng,Predicate vocabulary,2,0.29331970214843744,0.09486682402662502,0.29331970214843744,PNN,SENT
tại sao,răng mà,Interrogatives,1,0.2900285720825195,,0.2900285720825195,PNT1,SENT
hối hả,tất bật,Predicate vocabulary,1,0.2896885871887207,,0.2896885871887207,PNN,MCQA
vâng,dạ,Discourse particles,3,0.2896404266357422,0.0,0.2896404266357422,"PNN, PNT2, PNT4",SENT
kia mới,nớ mì,Demonstratives/Deixis,1,0.2887125015258789,,0.2887125015258789,PNT3,SENT
mất lịch sự,bờ hơ,Predicate vocabulary,1,0.2885537147521972,,0.2885537147521972,PNT3,MCQA
làm gì vào,mần chi,Interrogatives,1,0.2883105278015136,,0.2883105278015136,PNT2,MCQA
chơi gì,chi,Interrogatives,2,0.2875118255615234,0.0,0.2875118255615234,"PNT1, PNT2",MCQA
nên,bơ,Connectives/Aspect markers,7,0.2866028376988002,0.2334150308408005,0.1768426895141601,PNT3,"MCQA, NLI, QA, SENT"
thật đáng thương,ên thiệt tội nghiệp,Idiomatic expressions,1,0.2858288288116455,,0.2858288288116455,PNN,MCQA
sử dụng vào,xài vô,Predicate vocabulary,1,0.2857990264892578,,0.2857990264892578,PNN,QA
làm gì,mằn răng,Interrogatives,1,0.2826664447784424,,0.2826664447784424,PNT1,MCQA
và bật,với té,Predicate vocabulary,1,0.2825915813446045,,0.2825915813446045,PNN,NLI
thật đấy,thiệt đó,Predicate vocabulary,2,0.2821791172027588,0.06708867911006494,0.2821791172027588,PNN,SENT
đã sao,đạ răng,Interrogatives,1,0.2802200317382812,,0.2802200317382812,PNT3,SENT
tụi nó,bọn hắn,Pronouns,1,0.2799134254455566,,0.2799134254455566,PNT3,SENT
ông ấy,ổng,Pronouns,4,0.2788753509521484,0.08159848912396335,0.2827253341674804,"PNN, PNT4","NLI, SENT"
có vẻ điều,coi bộ chuyện,Predicate vocabulary,1,0.2788381576538086,,0.2788381576538086,PNN,NLI
định đánh,tính ăn,Predicate vocabulary,1,0.2785878181457519,,0.2785878181457519,PNN,MCQA
gì,cái chi,Interrogatives,5,0.2784955024719238,0.0986560575552148,0.2811079025268554,"PNT1, PNT4","MCQA, QA"
vào,hồi,Connectives/Aspect markers,17,0.2781563927145565,0.22043473487337129,0.1921069622039795,"PNN, PNT3, PNT4","MCQA, NLI, QA"
bố mình,ba ta,Kinship/Honorific terms,1,0.2775397300720215,,0.2775397300720215,PNT4,SENT
gì cái,chi cấy,Interrogatives,1,0.2768993377685547,,0.2768993377685547,PNT3,SENT
cái,cấy,Negation/Function words,13,0.2746586616222675,0.45425026285364417,0.1476235389709472,"PNT1, PNT2, PNT3","MCQA, NLI, SENT"
thế này,vầy,Demonstratives/Deixis,1,0.2745852470397949,,0.2745852470397949,PNN,SENT
tránh xa,né,Predicate vocabulary,1,0.2743110656738281,,0.2743110656738281,PNT4,SENT
đàn ngan,bầy vịt xiêm,Predicate vocabulary,2,0.2736248970031738,0.0,0.2736248970031738,PNN,MCQA
xem,ngó,Predicate vocabulary,1,0.2727327346801758,,0.2727327346801758,PNT3,SENT
có kích thước rất to,bự quá chừng,Predicate vocabulary,1,0.2722611427307129,,0.2722611427307129,PNT4,NLI
có,còn,Negation/Function words,1,0.2713251113891601,,0.2713251113891601,PNB,SENT
xấu hổ,mắc cỡ,Predicate vocabulary,2,0.2706785202026367,0.0,0.2706785202026367,"PNN, PNT4",MCQA
bao giờ,lần mô,Interrogatives,1,0.2705345153808594,,0.2705345153808594,PNT3,MCQA
người ta,họ,Pronouns,2,0.27034902572631836,0.2203309113730067,0.27034902572631836,PNT3,"QA, SENT"
không làm,nỏ mần,Negation/Function words,2,0.2700238227844238,0.0,0.2700238227844238,"PNT2, PNT3",SENT
làm,mằn,Predicate vocabulary,9,0.26793673303392196,0.1202805183839843,0.2154505252838134,PNT1,"MCQA, QA"
mẹ và,má với,Kinship/Honorific terms,1,0.2662110328674316,,0.2662110328674316,PNT4,MCQA
ấy,nớ,Demonstratives/Deixis,29,0.26605716244927763,0.22021488459698177,0.1664614677429199,"PNT2, PNT3, PNT4","MCQA, NLI, SENT"
tôi không,tui nỏ,Pronouns,1,0.2625768184661865,,0.2625768184661865,PNT2,MCQA
giờ đây,bây chừ,Demonstratives/Deixis,1,0.2617220878601074,,0.2617220878601074,PNT4,SENT
điều gì qua,cấy chi trong,Interrogatives,1,0.2609322071075439,,0.2609322071075439,PNT3,MCQA
nói rằng,kêu là,Predicate vocabulary,2,0.2589784860610962,0.003887456719250763,0.2589784860610962,PNN,NLI
việc,vụ,Predicate vocabulary,3,0.25837246576944983,0.22515041806428615,0.3599624633789062,PNN,QA
chồng,dông,Kinship/Honorific terms,1,0.2582106590270996,,0.2582106590270996,PNT3,NLI
chúng ta,choa,Pronouns,1,0.2580733299255371,,0.2580733299255371,PNT3,SENT
chúng tôi,bọn mềng,Pronouns,1,0.2579379081726074,,0.2579379081726074,PNT3,MCQA
chúng tôi,bọn tui,Pronouns,2,0.2572208642959595,0.18741337974902825,0.2572208642959595,"PNT2, PNT3","NLI, SENT"
không thích,nỏ ưng,Negation/Function words,3,0.2562726338704427,0.16763305206511214,0.2671546936035156,PNT3,"MCQA, SENT"
cậu cởi,nó lột,Pronouns,1,0.2553753852844238,,0.2553753852844238,PNN,MCQA
cậu,thằng nớ,Pronouns,4,0.2540211677551269,0.0,0.2540211677551269,PNT4,MCQA
mày,mi,Pronouns,35,0.25397757121494835,0.18242835095290094,0.2174959182739257,"PNT1, PNT2, PNT3, PNT4",SENT
thế này,tri,Demonstratives/Deixis,1,0.2538928985595703,,0.2538928985595703,PNT4,SENT
chiếc,kì,Negation/Function words,1,0.2525415420532226,,0.2525415420532226,PNT3,NLI
này đâu,ni cả,Demonstratives/Deixis,1,0.2524776458740234,,0.2524776458740234,PNT2,SENT
anh chồng la hoài là vậy,eng dông nạt mãi mà rứa tê,Kinship/Honorific terms,1,0.2524175643920898,,0.2524175643920898,PNT3,SENT
chơi nữa,dởi nựa,Predicate vocabulary,1,0.2523479461669922,,0.2523479461669922,PNT3,SENT
không,chơ nỏ,Negation/Function words,1,0.2517671585083008,,0.2517671585083008,PNT3,SENT
thời gian,lúc,Predicate vocabulary,2,0.2511953115463257,0.043535165700842884,0.2511953115463257,PNN,"QA, SENT"
“tôi mong mình,“tau trông mềng,Pronouns,1,0.2508974075317383,,0.2508974075317383,PNT3,MCQA
từng,hồi mô,Interrogatives,2,0.2485854625701904,0.0,0.2485854625701904,PNT4,MCQA
mẹ bật,má mở,Kinship/Honorific terms,2,0.2482349872589111,0.0,0.2482349872589111,"PNN, PNT4",MCQA
bút,viết,Predicate vocabulary,4,0.2477014064788818,0.0,0.2477014064788818,PNN,MCQA
gì,răng,Interrogatives,3,0.24704988797505692,0.05013298364742235,0.2272675037384033,"PNT3, PNT4",MCQA
không,khung,Negation/Function words,11,0.2469888383691961,0.2519532928535358,0.2170896530151367,"PNT2, PNT3","NLI, QA, SENT"
nữa sẽ,nựa là,Connectives/Aspect markers,1,0.2467832565307617,,0.2467832565307617,PNT3,QA
cái,cây,Negation/Function words,1,0.246471881866455,,0.246471881866455,PNT2,SENT
thế kia không,vậy hông,Negation/Function words,1,0.2452888488769531,,0.2452888488769531,PNN,SENT
lũ chúng tôi,bọn tau,Pronouns,1,0.2449941635131836,,0.2449941635131836,PNT3,SENT
tao tao,tau tau,Pronouns,2,0.2447891235351562,0.0,0.2447891235351562,"PNT1, PNT2",SENT
tại đó,chỗ nớ,Demonstratives/Deixis,1,0.2447562217712402,,0.2447562217712402,PNT3,MCQA
đã làm,đạ mần,Connectives/Aspect markers,1,0.2436034679412841,,0.2436034679412841,PNT2,MCQA
sao,răng mà,Interrogatives,1,0.2426943778991699,,0.2426943778991699,PNT1,SENT
câu hỏi,thắc mắc,Predicate vocabulary,1,0.2419805526733398,,0.2419805526733398,PNB,NLI
có lẽ,hông chừng,Predicate vocabulary,1,0.2414674758911132,,0.2414674758911132,PNN,SENT
thế cũng,rứa cụng,Demonstratives/Deixis,1,0.2407593727111816,,0.2407593727111816,PNT3,SENT
sao ấy,răng rứa,Interrogatives,1,0.2400178909301757,,0.2400178909301757,PNT2,SENT
góp,tặng,Predicate vocabulary,1,0.2397382259368896,,0.2397382259368896,PNB,MCQA
bà,bả,Pronouns,1,0.2397074699401855,,0.2397074699401855,PNN,QA
cha không thích,bọ nỏ ưng,Kinship/Honorific terms,1,0.2396290302276611,,0.2396290302276611,PNT3,MCQA
làm gì,mần cấy chi,Predicate vocabulary,1,0.2388832569122314,,0.2388832569122314,PNT4,MCQA
chứ đâu,chơ mô,Interrogatives,2,0.2382750511169433,0.0,0.2382750511169433,"PNT2, PNT3",SENT
những,mấy cái,Negation/Function words,2,0.23805546760559085,0.343971557465413,0.23805546760559085,PNN,"MCQA, NLI"
thật không,thiệt hông,Negation/Function words,1,0.2374963760375976,,0.2374963760375976,PNN,MCQA
nghĩ gì,nghị chi,Interrogatives,1,0.2374134063720703,,0.2374134063720703,PNT2,SENT
xò lông,dẩm,Idiomatic expressions,1,0.2372646331787109,,0.2372646331787109,PNT1,SENT
ngờ,ngại,Predicate vocabulary,1,0.2365450859069824,,0.2365450859069824,PNT3,NLI
kêu khóc,khóoc,Predicate vocabulary,1,0.2354300022125244,,0.2354300022125244,PNT3,MCQA
bắt,tóm,Predicate vocabulary,1,0.2345938682556152,,0.2345938682556152,PNT3,SENT
gấu,ghệ,Predicate vocabulary,1,0.2342119216918945,,0.2342119216918945,PNT4,SENT
réo rắt,véo von,Idiomatic expressions,1,0.2337086200714111,,0.2337086200714111,PNB,MCQA
chui,bò,Predicate vocabulary,1,0.2332191467285156,,0.2332191467285156,PNT1,NLI
dẫn,dắt,Predicate vocabulary,8,0.2327723503112793,0.0,0.2327723503112793,"PNN, PNT1",MCQA
mẹ nhé,má nhen,Kinship/Honorific terms,1,0.2323346138000488,,0.2323346138000488,PNN,MCQA
tạo,mần,Predicate vocabulary,3,0.2319204807281494,0.0,0.2319204807281494,PNT3,MCQA
bố mẹ,ba má,Kinship/Honorific terms,6,0.2306830883026123,0.08207087748490292,0.2002778053283691,"PNN, PNT4","MCQA, SENT"
đến việc,tới vụ,Predicate vocabulary,1,0.2305741310119629,,0.2305741310119629,PNN,SENT
làm gì nó,mần chi hắn,Interrogatives,1,0.2302956581115722,,0.2302956581115722,PNT3,SENT
hư,rách,Predicate vocabulary,1,0.2287871837615966,,0.2287871837615966,PNB,MCQA
má,vãi,Kinship/Honorific terms,1,0.2285742759704589,,0.2285742759704589,PNT3,SENT
lão,già,Predicate vocabulary,4,0.2279374599456787,0.0,0.2279374599456787,PNT4,MCQA
giúp bố,phụ ba,Kinship/Honorific terms,2,0.2278811931610107,0.0,0.2278811931610107,PNN,MCQA
này đời,ni đơì,Demonstratives/Deixis,1,0.226503849029541,,0.226503849029541,PNT1,SENT
gì vào lúc,chi hồi,Interrogatives,1,0.2262897491455078,,0.2262897491455078,PNT4,MCQA
chơi hoặc làm,dởi hay mần,Predicate vocabulary,1,0.2255196571350097,,0.2255196571350097,PNT3,SENT
không,hổng,Negation/Function words,5,0.22531328201293946,0.24707860400567952,0.3852972984313965,PNN,"MCQA, NLI"
vì,tại,Connectives/Aspect markers,29,0.2244651153169829,0.12733799665529505,0.2502486705780029,"PNB, PNN, PNT2, PNT4","MCQA, NLI, QA, SENT"
không nhầm hôm,hông lầm bữa,Demonstratives/Deixis,1,0.2238497734069824,,0.2238497734069824,PNN,SENT
trông thấy,chộ,Predicate vocabulary,1,0.2237815856933593,,0.2237815856933593,PNT3,SENT
bây giờ,bựa ni,Negation/Function words,1,0.2236776351928711,,0.2236776351928711,PNT3,SENT
trèo,leo,Predicate vocabulary,4,0.22200536727905268,0.07987308502197266,0.261941909790039,"PNN, PNT3, PNT4","MCQA, SENT"
như thế nào,sao,Interrogatives,9,0.22096758418613005,0.23546278066492946,0.1092917919158935,PNN,"MCQA, QA, SENT"
chơi,rượng,Predicate vocabulary,2,0.22057676315307614,0.001045241843070172,0.22057676315307614,PNT3,SENT
trở thành,làm,Predicate vocabulary,1,0.2201290130615234,,0.2201290130615234,PNT4,NLI
như,y,Predicate vocabulary,1,0.2196912765502929,,0.2196912765502929,PNN,SENT
đồng ý,chịu,Predicate vocabulary,2,0.219001293182373,0.0,0.219001293182373,PNN,NLI
vờ,giả đò,Predicate vocabulary,4,0.2176072597503662,0.0,0.2176072597503662,"PNN, PNT3",MCQA
ông bố,bọ,Kinship/Honorific terms,1,0.216876745223999,,0.216876745223999,PNT3,MCQA
nhìu,nhiều,Predicate vocabulary,1,0.2165751457214355,,0.2165751457214355,PNB,SENT
nhằm,đặng,Connectives/Aspect markers,1,0.2145752906799316,,0.2145752906799316,PNN,QA
mức,cỡ,Predicate vocabulary,1,0.2143387794494629,,0.2143387794494629,PNN,SENT
nhặt quả,luợm trái,Predicate vocabulary,1,0.2122559547424316,,0.2122559547424316,PNN,MCQA
bắt,tống,Predicate vocabulary,1,0.2120618820190429,,0.2120618820190429,PNT1,NLI
nhiều,một mớ,Predicate vocabulary,1,0.2112631797790527,,0.2112631797790527,PNT2,NLI
nhanh,lẹ,Predicate vocabulary,1,0.2112126350402832,,0.2112126350402832,PNN,SENT
muốn làm,ưng mần,Predicate vocabulary,1,0.2091319561004638,,0.2091319561004638,PNT3,MCQA
ngay,liền,Predicate vocabulary,1,0.2089767456054687,,0.2089767456054687,PNT4,SENT
cả,hết,Negation/Function words,1,0.208967924118042,,0.208967924118042,PNN,NLI
hôm,bữa,Predicate vocabulary,4,0.20850288867950434,0.1602329756196473,0.2105246782302856,"PNN, PNT3, PNT4","NLI, SENT"
khi,chừng,Connectives/Aspect markers,2,0.2083311080932617,0.0,0.2083311080932617,PNN,SENT
rơi vào,rớt vô,Predicate vocabulary,2,0.2070207595825195,0.0,0.2070207595825195,"PNT3, PNT4",MCQA
hôm ấy,bữa nớ,Demonstratives/Deixis,1,0.2062125205993652,,0.2062125205993652,PNT2,SENT
này đâu,ni mô,Interrogatives,1,0.2060246467590332,,0.2060246467590332,PNT3,SENT
bố mẹ,bọ mạ,Kinship/Honorific terms,2,0.2056441307067871,0.07923540085090464,0.2056441307067871,PNT3,SENT
đây,dừ,Demonstratives/Deixis,1,0.2048630714416504,,0.2048630714416504,PNT2,SENT
"""người đâu","""ngài mô",Interrogatives,1,0.2046244144439697,,0.2046244144439697,PNT2,MCQA
giống,y chang,Predicate vocabulary,1,0.2042794227600097,,0.2042794227600097,PNN,SENT
và không,với hông,Negation/Function words,1,0.203885793685913,,0.203885793685913,PNN,MCQA
mình,miềng,Pronouns,8,0.20349550247192383,0.15306058560977265,0.16656744480133057,PNT3,"MCQA, NLI, QA, SENT"
các vùng,mấy khu,Predicate vocabulary,1,0.2025821208953857,,0.2025821208953857,PNT4,QA
chúng ta,miềng,Pronouns,1,0.202521800994873,,0.202521800994873,PNT3,MCQA
chân,cẳng,Predicate vocabulary,1,0.2022843360900879,,0.2022843360900879,PNT3,SENT
mệt,đoạ,Predicate vocabulary,1,0.2022838592529297,,0.2022838592529297,PNT3,SENT
vì đến,tại tới,Predicate vocabulary,1,0.2021574974060058,,0.2021574974060058,PNN,SENT
ngơi khi,lúc,Connectives/Aspect markers,1,0.2014133930206298,,0.2014133930206298,PNN,MCQA
chạy,nhào,Predicate vocabulary,1,0.201362133026123,,0.201362133026123,PNN,SENT
về,viền,Predicate vocabulary,5,0.20126304626464844,0.13180787313915948,0.1302814483642578,PNT1,"MCQA, QA"
gọi,hú mấy người xung quanh,Predicate vocabulary,1,0.2000448703765869,,0.2000448703765869,PNT3,NLI
thật đấy,thiệt á,Predicate vocabulary,1,0.1995296478271484,,0.1995296478271484,PNT3,SENT
mong bố,trông bọ,Kinship/Honorific terms,1,0.1991000175476074,,0.1991000175476074,PNT3,MCQA
xấc xược,hỗn hào bố,Predicate vocabulary,1,0.1989674568176269,,0.1989674568176269,PNT4,SENT
mọi,tất cả,Negation/Function words,1,0.1987526416778564,,0.1987526416778564,PNB,NLI
không được,chịu,Negation/Function words,1,0.1984944343566894,,0.1984944343566894,PNB,SENT
tốt thật,giỏi thiệt,Predicate vocabulary,1,0.198397159576416,,0.198397159576416,PNN,SENT
mẹ và,má rồi,Kinship/Honorific terms,1,0.19777512550354,,0.19777512550354,PNN,MCQA
dùng,lấy,Predicate vocabulary,2,0.197157621383667,0.0,0.197157621383667,PNT4,MCQA
bao giờ bảo,từng nói,Idiomatic expressions,1,0.1966960430145263,,0.1966960430145263,PNT3,MCQA
những việc,mấy chuyện,Negation/Function words,1,0.1961832046508789,,0.1961832046508789,PNN,QA
đầu,trốc,Predicate vocabulary,1,0.1957807540893554,,0.1957807540893554,PNT2,SENT
thế nhỉ,rứa hầy,Demonstratives/Deixis,1,0.1956038475036621,,0.1956038475036621,PNT2,SENT
bật,bổ,Predicate vocabulary,1,0.1925723552703857,,0.1925723552703857,PNT2,NLI
giờ mới,chừ mì,Demonstratives/Deixis,1,0.1918458938598632,,0.1918458938598632,PNT3,SENT
chẳng,nỏ,Negation/Function words,3,0.19016218185424802,0.08499689616429312,0.2392351627349853,"PNT2, PNT3","MCQA, SENT"
đối với,trước,Connectives/Aspect markers,1,0.1897377967834472,,0.1897377967834472,PNB,QA
dắt,đắc,Predicate vocabulary,1,0.1877446174621582,,0.1877446174621582,PNT3,SENT
với,bằng,Connectives/Aspect markers,1,0.1874017715454101,,0.1874017715454101,PNB,QA
gấp gáp,rốp rẻng,Predicate vocabulary,1,0.1870787143707275,,0.1870787143707275,PNN,MCQA
kia,di,Demonstratives/Deixis,1,0.1868872642517089,,0.1868872642517089,PNT1,SENT
và,ví,Connectives/Aspect markers,3,0.18674373626708982,0.01509632620150931,0.1954596042633056,PNT1,MCQA
xem,nựa coi,Predicate vocabulary,1,0.1864275932312011,,0.1864275932312011,PNT3,SENT
chàng hoảng hốt,ảnh quýnh quáng,Kinship/Honorific terms,1,0.1860566139221191,,0.1860566139221191,PNN,MCQA
vấn đề,cấy chi,Interrogatives,1,0.1856379508972168,,0.1856379508972168,PNT3,SENT
tìm những,kiếm mấy,Predicate vocabulary,1,0.1840643882751464,,0.1840643882751464,PNN,SENT
sao,răn,Interrogatives,1,0.18365478515625,,0.18365478515625,PNT4,MCQA
giúp mẹ,phụ má,Kinship/Honorific terms,2,0.18362259864807123,0.06300414372717715,0.18362259864807123,PNN,MCQA
chọn,lựa,Predicate vocabulary,2,0.18327212333679194,0.20238141152918712,0.18327212333679194,"PNN, PNT4","MCQA, NLI"
nói gì,nuối chi,Interrogatives,1,0.1826860904693603,,0.1826860904693603,PNT1,MCQA
yêu cầu,biểu,Predicate vocabulary,1,0.18196702003479,,0.18196702003479,PNN,MCQA
không,chả,Negation/Function words,14,0.18195434979030065,0.290940028851771,0.16078698635101313,"PNB, PNT1, PNT3, PNT4","NLI, SENT"
thấy chế,ngó chộ chị,Predicate vocabulary,1,0.1792802810668945,,0.1792802810668945,PNT3,SENT
sự việc,vụ,Predicate vocabulary,2,0.1791391372680664,0.08186806159628912,0.1791391372680664,PNN,QA
vội vàng,quíu quắn,Predicate vocabulary,1,0.1789040565490722,,0.1789040565490722,PNT4,MCQA
bạn,lạo,Pronouns,1,0.1787104606628418,,0.1787104606628418,PNT2,MCQA
bạn,cô,Kinship/Honorific terms,3,0.17830777168273917,0.0,0.1783077716827392,PNB,MCQA
ông bà đấy thế nào,ổng bả ra sao,Kinship/Honorific terms,1,0.1768913269042968,,0.1768913269042968,PNN,SENT
khuyên,kêu,Predicate vocabulary,1,0.176809549331665,,0.176809549331665,PNT3,MCQA
hoài,miết,Predicate vocabulary,1,0.1760530471801757,,0.1760530471801757,PNT4,SENT
và không,rồi hông,Negation/Function words,1,0.1756458282470703,,0.1756458282470703,PNN,MCQA
nó,hắn,Pronouns,39,0.17503482867509887,0.1546849742469091,0.1667532920837402,"PNT3, PNT4","MCQA, NLI, QA, SENT"
chửi,bới,Predicate vocabulary,1,0.1739459037780761,,0.1739459037780761,PNT1,SENT
ông,ổng,Pronouns,13,0.17360236094548148,0.05266679138163303,0.1479630470275879,"PNN, PNT4","MCQA, QA"
bà nó,mẹ kì,Kinship/Honorific terms,1,0.1734600067138672,,0.1734600067138672,PNT3,SENT
tao,tau còn,Pronouns,1,0.1732740402221679,,0.1732740402221679,PNT3,SENT
mãi không,hoài hông,Negation/Function words,1,0.1729879379272461,,0.1729879379272461,PNN,MCQA
sẽ,có lẹ,Connectives/Aspect markers,1,0.1726512908935547,,0.1726512908935547,PNT2,SENT
làm,mần,Predicate vocabulary,41,0.17199386619940035,0.16895285351075556,0.1567251682281494,"PNN, PNT1, PNT2, PNT3","MCQA, NLI, QA, SENT"
đấy,đo,Discourse particles,1,0.1717534065246582,,0.1717534065246582,PNT3,SENT
mẹ,má,Kinship/Honorific terms,31,0.17151169623098064,0.1372215502845742,0.1286821365356445,"PNN, PNT4","MCQA, NLI, QA, SENT"
dội,bật,Predicate vocabulary,1,0.1714096069335937,,0.1714096069335937,PNT4,SENT
vậy nên,rứa bơ,Connectives/Aspect markers,1,0.170969009399414,,0.170969009399414,PNT3,SENT
chắn,cú,Predicate vocabulary,1,0.1709249019622802,,0.1709249019622802,PNN,NLI
gì cả,chi hết,Interrogatives,1,0.1708414554595947,,0.1708414554595947,PNT4,MCQA
các,mấy,Negation/Function words,73,0.1704568666954563,0.20263395428750874,0.0819342136383056,"PNN, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT"
đóng,nộp,Predicate vocabulary,1,0.1703999042510986,,0.1703999042510986,PNT3,NLI
nào,nớ,Demonstratives/Deixis,1,0.1700325012207031,,0.1700325012207031,PNT3,MCQA
vất vả,khổ,Predicate vocabulary,1,0.1700015068054199,,0.1700015068054199,PNT3,MCQA
bố,bọ,Kinship/Honorific terms,6,0.16991464296976724,0.08146559201261906,0.17965030670166016,PNT3,MCQA
hoặc làm,hay lồm,Predicate vocabulary,1,0.1697802543640136,,0.1697802543640136,PNT4,SENT
cạnh nơi,kế bên chỗ,Predicate vocabulary,1,0.1697378158569336,,0.1697378158569336,PNN,NLI
mình,ta,Pronouns,4,0.1694891452789306,0.24831591125767113,0.0658984184265136,PNT4,SENT
nào không,mô nỏ,Interrogatives,1,0.1693565845489502,,0.1693565845489502,PNT2,MCQA
đó nhìn,nớ nhòm,Demonstratives/Deixis,1,0.1692769527435302,,0.1692769527435302,PNT3,MCQA
trở nên,đâm ra,Predicate vocabulary,1,0.1691102981567382,,0.1691102981567382,PNN,QA
như thế,a rứa,Demonstratives/Deixis,2,0.1682322025299072,0.0,0.1682322025299072,PNT2,MCQA
kia,nớ,Demonstratives/Deixis,1,0.1680092811584472,,0.1680092811584472,PNT4,MCQA
nhắc,nói,Predicate vocabulary,1,0.1679720878601074,,0.1679720878601074,PNT4,NLI
không về,hông dìa,Negation/Function words,1,0.1675953865051269,,0.1675953865051269,PNN,MCQA
sử dụng,dùng,Predicate vocabulary,4,0.16635191440582273,0.06257445124798235,0.15461933612823486,"PNT1, PNT3, PNT4","MCQA, NLI, QA"
định,tính,Predicate vocabulary,5,0.16614685058593745,0.02871896923082418,0.178990364074707,PNN,MCQA
mình,tui,Pronouns,3,0.16592057545979813,0.1789378057074126,0.2692303657531738,PNN,SENT
lười,làm,Predicate vocabulary,1,0.1658546924591064,,0.1658546924591064,PNN,MCQA
làm thế,mần rứa,Demonstratives/Deixis,2,0.1637966632843017,0.0,0.1637966632843017,"PNT2, PNT3",SENT
như thế nào,làm sao,Interrogatives,3,0.16347336769103998,0.11810768618100781,0.1016836166381836,PNN,"MCQA, QA"
thế nhỉ,rứa nhể,Demonstratives/Deixis,1,0.1628379821777343,,0.1628379821777343,PNT1,SENT
việc,cái vụ,Predicate vocabulary,1,0.1617395877838134,,0.1617395877838134,PNN,QA
đó,chỗ nớ,Demonstratives/Deixis,2,0.16160655021667475,0.07734755921240467,0.16160655021667475,"PNT2, PNT4",MCQA
bảo,biểu,Predicate vocabulary,2,0.1607544422149658,0.0,0.1607544422149658,PNN,MCQA
không,hông,Negation/Function words,134,0.16017347841120474,0.16509517639250032,0.10854136943817135,"PNN, PNT4","MCQA, NLI, QA, SENT"
điều gì,chi,Interrogatives,1,0.1601617336273193,,0.1601617336273193,PNT3,MCQA
và,với,Connectives/Aspect markers,64,0.1596202105283737,0.16094931927160583,0.1220209598541259,"PNN, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT"
nhé,nhen,Discourse particles,2,0.15941226482391355,0.10168264378041271,0.15941226482391355,PNN,"MCQA, SENT"
chơi hoặc làm,nhởi hay mần,Predicate vocabulary,1,0.158975601196289,,0.158975601196289,PNT2,SENT
đánh,nhể oánh,Predicate vocabulary,1,0.1582207679748535,,0.1582207679748535,PNT1,SENT
rất,khá,Predicate vocabulary,1,0.1580643653869629,,0.1580643653869629,PNT3,NLI
cậu,hắn,Pronouns,11,0.15782408280806107,0.0365597366640979,0.1791703701019287,"PNT3, PNT4",MCQA
không thấy,nỏ chộ,Negation/Function words,1,0.157693862915039,,0.157693862915039,PNT2,MCQA
tốt,giỏi,Predicate vocabulary,1,0.156583547592163,,0.156583547592163,PNN,NLI
tấm,tờ,Predicate vocabulary,1,0.1563587188720703,,0.1563587188720703,PNT3,NLI
những,mấy,Negation/Function words,44,0.15635359829122367,0.1505044776680483,0.094031810760498,"PNN, PNT1, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT"
mình,mềng,Pronouns,3,0.1560707887013753,0.14196198139669522,0.1231534481048584,PNT3,"MCQA, SENT"
giờ mới,dừ mì,Predicate vocabulary,1,0.1556382179260254,,0.1556382179260254,PNT2,SENT
đâu,mô mà,Interrogatives,3,0.1554930210113525,0.0,0.1554930210113525,"PNT2, PNT3, PNT4",MCQA
chúng,bọn,Pronouns,5,0.1548581600189209,0.1643216177934632,0.0726513862609863,"PNB, PNT3","MCQA, NLI"
nào chứ,mô chơ,Interrogatives,1,0.1540045738220214,,0.1540045738220214,PNT3,SENT
cha,ba,Kinship/Honorific terms,11,0.1532455574382435,0.1919357885021463,0.0645580291748046,"PNN, PNT4","MCQA, NLI, QA, SENT"
dí,rượt,Predicate vocabulary,5,0.15270338058471683,0.2131478784433429,-0.0029578208923339,PNN,SENT
cô,bà,Kinship/Honorific terms,1,0.1520650386810302,,0.1520650386810302,PNB,NLI
thai,bầu,Predicate vocabulary,1,0.1510004997253418,,0.1510004997253418,PNT3,NLI
mai này,sau ni,Demonstratives/Deixis,1,0.1509084701538086,,0.1509084701538086,PNT2,SENT
chả,nỏ,Negation/Function words,1,0.149932861328125,,0.149932861328125,PNT3,SENT
bước,đoạn,Predicate vocabulary,1,0.1496963500976562,,0.1496963500976562,PNT3,SENT
đâu,chi mà,Interrogatives,1,0.1493341922760009,,0.1493341922760009,PNT1,MCQA
đỗ,đậu,Predicate vocabulary,5,0.1493163108825683,0.0,0.1493163108825683,"PNN, PNT3, PNT4",SENT
thế không,dữ hông,Negation/Function words,1,0.1486968994140625,,0.1486968994140625,PNN,SENT
dỗi,lẫy,Predicate vocabulary,2,0.1486892700195312,0.0,0.1486892700195312,PNT3,MCQA
đã,dạ,Connectives/Aspect markers,1,0.1485571861267089,,0.1485571861267089,PNT2,MCQA
